TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
18951.546079695894;16645.56759065246;3418455.478376415;1706160.9509743187;1683949.9840162885;22210.966958030127
19022.899830043483;17813.79515899362;4137907.883290565;2311641.4161405326;2149840.5151287774;161800.90101175522
18979.75338355513;17197.996957083044;4747648.402635252;3137264.275783496;3061033.754992327;76230.52079116879
19052.500480236013;19532.564702881427;3458463.4098075973;1735327.4414201167;1628006.7291647226;107320.71225539409
18918.38914782817;18185.951182797176;4853846.515216678;2680241.8592690895;2603342.644039144;76899.21522994572
19060.117146239267;23629.100031504262;5025591.981798937;2367420.680197171;2110876.3622149546;256544.31798221637
19084.038180159703;18233.751272295856;4526753.024483484;2757460.093388159;2641500.588834578;115959.50455358066
18754.78572175279;20490.98928828753;6261768.812050356;4402726.76311763;4306766.8335769735;95959.9295406565
18991.646516305093;19000.66732197923;4676051.394409271;2596463.3154582875;2518411.9026513463;78051.4128069412
19040.51942248046;20005.279331148085;6109268.354222297;3281817.9841796765;3189722.1775774714;92095.80660220515
18995.674742992924;18383.81996026747;4396379.906154682;2416713.7785312617;2298727.6699013175;117986.10862994427
19119.88329470312;21014.32109058855;4675763.66895324;2077544.2039784957;1867236.3400966637;210307.863881832
18955.31455708641;19058.959145833807;5170414.028781986;3213311.3793204557;3139669.221484512;73642.15783594362
18937.77120293611;20033.03742251102;5138338.476953717;3191420.855434385;3082403.050078985;109017.80535540031
18968.4994194563;19724.706507041687;3468609.8429314126;1293100.591497539;1067209.1515557636;225891.43994177552
18883.580494548303;18184.262101937707;4516437.9537534695;2479104.223897804;2405119.729214128;73984.49468367593
18881.78582895714;18721.64699801127;3834574.6673152465;1936901.9205616186;1786312.223463071;150589.6970985476
19066.163562998714;20510.435145240295;3995425.2706168517;2244508.993937852;2153283.626865372;91225.3670724798
18903.46631981678;18758.64779698004;5063027.736807594;3330917.698878741;3230390.5739373825;100527.12494135834
19008.36943951757;18993.619802002053;4186849.366888801;2643883.8832632513;2560705.639814643;83178.24344860809
19142.146512901927;18045.778530088326;6002524.611011704;3509443.213989045;3343715.736082586;165727.477906459
19001.235089109035;18938.612215456335;5080762.599077056;2614909.804264958;2324138.7076499322;290771.0966150258
19110.996647742704;17368.696728495204;5781526.027859814;4121684.748014031;4034367.5132496776;87317.23476435337
19036.060821643045;21019.685741449677;4766110.7953684945;3051845.373021101;2985006.1021576105;66839.27086349064
18953.663507682835;15738.074021727332;2574579.5545582697;985610.3523568662;863878.6414036262;121731.71095324005
18883.483437291405;19436.184652961743;6047870.188505733;3522727.5645372723;3332610.1964163803;190117.36812089197
19112.60847905728;19885.94823025373;3461431.752609677;1722936.5870889672;1606471.7046831618;116464.8824058054
19048.088753035016;18296.854598942256;6238380.5244763335;3732882.6193224555;3769203.1003136523;-36320.48099119682
18926.750758009086;18948.529513522844;3839726.9159408608;1957181.1473881365;1936342.9901656425;20838.157222494017
18972.349126641053;21374.072984655035;5786258.048933153;3693220.130190634;3503439.334528356;189780.7956622783
18997.797215347913;17972.59160873876;4131529.6574157854;2416748.779045779;2310225.496054124;106523.2829916547
19051.93898224697;20749.080994806736;4710461.670352855;2045600.547859314;1920586.775385499;125013.7724738149
18965.56349058861;20356.828037995467;4036350.6753053814;1903707.4094132206;1860371.9644970687;43335.44491615193
19090.418623861766;18346.702253560063;4610249.4456545515;2512676.5120673375;2403688.26366281;108988.24840452755
18876.220081236916;19998.499952371545;3975896.837786037;2062108.3530933862;1929212.4805768076;132895.87251657853
19045.078418129346;21810.84479780909;5564422.054450149;2455248.251747161;2225314.820946876;229933.4308002852
19057.464423798207;18662.680303369663;6895903.501028092;4886753.015149529;4715620.958540717;171132.05660881195
18981.26167930676;18813.54080969844;6718113.841468602;4595306.711826369;4471433.7850105865;123872.92681578267
19063.314097346305;17581.84460287432;5282729.774691898;3272633.2979554194;3184653.658578776;87979.63937664358
19016.396714953913;18037.207168969937;5473432.11737663;3466705.9792026123;3301488.8051787373;165217.17402387504
18907.53869747297;18689.65168071639;2460191.6463353424;661664.4761086958;543567.5835404457;118096.89256825019
19044.57991827617;21591.093801138304;4521463.641072994;2422620.548637751;2141440.235157107;281180.313480644
18952.073983698298;16459.789344157245;3229618.0716597503;1951500.635491185;1910887.269192743;40613.366298441775
19074.18318047423;20078.649057479623;4389336.282717658;2562535.761593017;2520368.7852841383;42166.97630887851
18884.629697098575;16768.307884872702;3484487.84089182;1909109.309401588;1825578.0402773167;83531.26912427135
18997.472064286645;17522.700578770146;3847102.2007225496;2060422.6735154246;1993098.9934880356;67323.68002738897
19034.23599378073;19534.964678608176;7205828.485164859;4692158.08804899;4547918.37599966;144239.71204932965
19126.77939359558;18972.14129398887;6050277.716742568;4058847.072804766;3990729.232168298;68117.84063646756
