RealID;Mean;Var
1;20351.70139494273;1378335.3062177892
2;19804.391850231113;1480589.2229927205
3;19535.35077140779;1065328.5832239126
4;19727.57850061758;875204.1525568804
5;19652.08656780734;641937.556664935
6;19717.599810027117;464517.8285028182
7;19604.990180700664;404965.27939160995
8;19619.475067306357;278328.1382278238
9;19635.93295790889;138185.54991951757
10;19764.694579314433;227129.50546296503
11;19804.416159545282;171772.4458796756
12;19810.245829816842;108956.03670331257
13;19825.92149002197;48620.43247747264
14;19806.519490390023;8630.557306783521
15;19847.078885558767;-9003.578486818209
16;19903.860504193108;14317.02254596942
17;19813.428779922764;124893.01303260305
18;19761.416691321025;128513.94864240564
19;19733.323600623113;105805.42056942022
20;19826.446978921496;247260.8041876438
21;19771.897417446926;273227.6745446773
22;19766.37734240606;233034.3072669785
23;19774.746038154684;191797.12470957803
24;19800.441126479054;170305.50482376327
25;19843.586514877097;173808.884885989
26;19866.29631423035;152097.24597358354
27;19837.978439767685;152178.01790304808
28;19815.790055864876;133271.5585781985
29;19873.552261713023;212899.6390308498
30;19876.272823433763;180916.50612362457
31;19875.585758223104;155345.7693130816
32;19872.765135666737;128977.45153008512
33;19892.006944758396;125256.94725551998
34;19865.262040559017;128423.44190836564
35;19860.550990099615;105962.5477742436
36;19847.10575949504;92264.70083039874
37;19854.617631538607;70652.6091749596
38;19847.1398674762;58443.12022415374
39;19856.20306335705;42563.16492130619
40;19857.437266108;24993.998182300187
41;19857.549965787985;8449.410356816283
42;19855.892673678132;-12650.31538545803
43;19864.57104001729;-24074.162860730954
44;19870.47979751801;-32810.613996835455
45;19867.14059837473;-45018.36588223209
46;19846.27899204984;-34680.63449114852
47;19845.578002185524;-51176.29725397253
48;19833.402771160778;-60328.69596122921
49;19846.9040838019;-66480.5662226576
50;19825.318035053002;-55321.85253904128
51;19825.25524615181;-66819.267309374
52;19812.759358384268;-72532.24033115103
53;19836.400191359517;-55093.49141268825
54;19807.464010368538;-22260.648453964095
55;19793.769258639928;-25389.795650967484
56;19812.24748519615;-15156.089024661924
57;19810.242494842005;-24431.435942583164
58;19822.449153569916;-24484.66115186026
59;19834.652064175123;-29579.258684109693
60;19844.46261057502;-36877.83813455643
61;19847.954451999074;-46943.69695079379
62;19838.382031656398;-51224.32248199839
63;19834.81573402369;-59024.35196630709
64;19832.26994847312;-70201.3669999511
65;19838.705738284883;-76893.7520596342
66;19853.044177010277;-71584.81511879209
67;19873.10970376332;-54311.24044051292
68;19879.645144928625;-60183.39976560403
69;19865.53190698142;-55872.83021376989
70;19864.355629022106;-65137.49922398664
71;19865.41905371909;-73096.64411899872
72;19865.819996078768;-81085.2298977128
73;19868.110146014737;-89215.09411457434
74;19844.77322734547;-54852.599530977255
75;19854.85222093303;-54810.10081250477
76;19834.932689315327;-32097.759270771785
77;19843.029136537745;-35017.374823493476
78;19829.2011691515;-28195.48278073847
79;19825.83663913107;-34202.32283608022
80;19831.75773543273;-38451.672890847316
81;19820.016603812703;-35932.405068026914
