TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
18819.01060396515;22318.078407644556;6117879.760364253;2460317.650387286;2589110.2464544475;-128792.5960671613
18585.188381305947;17376.606271131368;5101994.629645896;3665573.9010818945;3603936.383903321;61637.517178573646
18817.703192719673;17280.98913862495;5039682.163617374;3214739.211866281;3148256.717809518;66482.49405676313
18973.151280250175;21126.272489737246;4505257.5074268095;2329578.475442486;2294101.7022112375;35476.77323124837
18800.347001945793;22491.0070581288;4584709.622713453;1633372.4493677698;1492454.3853538365;140918.0640139333
18725.1795828914;19452.57139337109;4537921.54352692;2608623.123164356;2608831.4387864256;-208.31562206940725
18922.875368056502;17705.652284831544;5402093.809227874;3224676.6236220254;3153121.19523393;71555.42838809546
18924.98883849206;19748.172933583734;4645905.33987577;2868954.293291007;2836209.4913861817;32744.801904825494
18678.98383580363;17610.643602083517;4204508.163056662;2770955.3406906673;2758403.998798378;12551.341892289463
18744.228991255823;17286.567134476423;6571299.900054256;4440889.622335988;4325060.997652156;115828.62468383182
18871.96353218266;16280.939363428115;4173770.2662947853;2105133.142866915;2053677.045822425;51456.09704448981
19022.55121326762;18690.49605648753;5518338.811250423;3624731.39211109;3556910.353397047;67821.03871404286
18804.873197591183;17419.577075536843;5237931.614233069;2950400.6278864597;2898242.5253639678;52158.10252249194
18972.21040595019;20119.637540322678;5138696.65828697;2743562.5893626367;2696770.563998674;46792.02536396263
18868.16903193003;17162.905461756043;5273138.498580162;3542526.4115995066;3501706.0773548624;40820.33424464427
18745.730680073328;20343.592388228237;5747301.346053604;3598093.325798923;3468386.0507885795;129707.27501034364
18778.461281253738;15516.315829886851;2977148.5886141406;1791499.0365275592;1736572.6554965335;54926.38103102567
19114.4952338506;19804.942679144104;4223912.582423951;2228691.1628779443;2319921.186429192;-91230.02355124755
18908.5049930917;16988.997787472716;3518774.440044961;1903179.201374994;1872761.3292397575;30417.872135236394
18871.5877676241;20465.04742358816;4947973.080113248;2892054.912213075;2883878.012437561;8176.8997755139135
18811.367540385218;20747.666194807523;5337228.72179651;2807316.802357466;2737487.563383121;69829.23897434492
18819.44123906525;18839.39387058392;5198979.318639056;3158191.1225120025;3137429.2552002645;20761.867311737966
18942.085982993416;16201.197406575333;5364759.91281418;3994432.499035838;3934826.329526486;59606.169509352185
18817.48181439276;17058.24549250545;5043867.439463139;3364436.2275044993;3350254.312842425;14181.914662074298
18813.989602299855;19702.306197288868;3367364.120380539;1286093.1428971323;1300703.1896313513;-14610.046734218951
18728.095008782988;17718.317110196433;4497070.217282236;2759128.6036699656;2684686.3401414915;74442.26352847414
18846.27961158655;19336.966635219775;5129914.777253219;2883751.769938714;2778645.6793769225;105106.09056179132
18762.17438443416;20730.334692677963;4652639.203146978;2333432.951638081;2190448.7347194995;142984.21691858163
18795.954333175418;18269.412935374297;5416542.399096772;3704889.804397625;3660242.8324788036;44646.971918821335
18765.87188174284;19954.510619748802;4870716.702707588;2402362.700034113;2374808.138711443;27554.561322669964
18841.138230983863;18424.017007094677;5881407.57006443;3172965.660138552;3160145.1048917463;12820.555246805772
18906.488790260006;17310.78964039373;4108271.172179666;2145789.614732551;2048870.1460905652;96919.46864198567
18858.20526575875;17127.194745261546;4722983.8092587665;3153780.3995419485;3132375.842950823;21404.55659112567
18792.87823010498;20078.395407155847;6866984.875885225;4508078.849207378;4415858.377220267;92220.47198711056
18897.455643395377;16266.205626674613;5896170.798360928;4270186.664118621;4197349.212295201;72837.45182341989
18993.984919948372;13883.246619490696;2245216.6585711255;841655.5699856464;852940.7801872218;-11285.21020157542
18840.232143705307;18407.157428096827;5489072.865786191;3079938.7064737994;3019874.936247073;60063.77022672631
18654.908056559023;15381.492259916136;3543899.88128186;2352608.8246087516;2303365.8929874226;49242.93162132893
18966.13048203412;18656.868762488117;4520431.440097991;2685357.046720217;2667746.8870168906;17610.15970332641
18963.648206227317;21437.10288842852;4355157.514147628;2054361.1112404987;2022592.8826510776;31768.228589421138
18762.49004589921;13661.127163249326;1793930.7709920933;431402.13020082423;402316.0223942371;29086.107806587126
18902.17721885219;21648.68440056242;3784848.2655533943;1454562.2006276958;1417494.485449825;37067.71517787082
18786.708914890973;17385.711663171704;3407712.4143054886;1760492.2924506022;1748154.3841333631;12337.908317239024
18893.56758033975;19460.509425550626;4581600.826012963;2452713.6494867746;2314584.8658240438;138128.78366273083
18804.971633692134;16180.702349665533;3389302.6806533607;2020467.9221736845;1998348.7690819763;22119.1530917082
18846.835672441;19357.121271112475;5829886.0230790395;3084118.5590063743;2987367.867550252;96750.69145612232
19014.97226148767;23031.461700359916;3973719.146632196;1702289.627426337;1612416.5603528596;89873.06707347743
18803.25943365595;19231.88977860024;6241208.628750391;4049791.253205254;3993426.3697789735;56364.88342628069
18654.806560992063;18541.139614438962;4517577.210621614;2463474.632672667;2412809.081772179;50665.55090048816
19031.32059720013;21771.95216014503;3909855.5433721896;1454850.145497391;1404852.535888072;49997.6096093189
18709.085729575858;21006.580389186325;4611485.407099901;2858220.9141107476;2767881.5843269555;90339.32978379214
18853.32823808495;18655.10491635933;5313993.603609205;3274919.8088668385;3232077.422161913;42842.38670492545
18950.882884442202;19736.053136641618;5132072.994796753;3295616.665803204;3268779.376501199;26837.289302004967
18740.144145801463;16641.23826662394;4042700.5653175474;2366055.4273128896;2351666.5674765646;14388.85983632505
18895.988815216213;20179.28187356101;5035496.04590019;2465678.519937186;2413240.083917188;52438.436019998044
18658.12007584697;20081.499852274756;5243807.653892389;3090103.815293564;3034166.1092030047;55937.70609055925
18924.90725822302;21220.857614453962;5841809.879129354;3532392.784452608;3399247.20491203;133145.57954057772
18617.344045575755;19192.761879186244;6972770.573950378;4671042.231144508;4457261.015131653;213781.21601285506
18872.876195375447;19320.5877219274;4133769.0058438834;1538335.682954643;1590543.1896956633;-52207.50674102036
18932.381805404755;19210.352451088493;6510702.503913364;4358637.24379593;4247509.7810128145;111127.46278311592
18940.0533728022;16437.265534705035;2612484.2949344018;1016740.078626554;926383.7053652089;90356.37326134508
18850.291960756877;18631.907403822064;4919400.5862300685;3125252.2138542603;3039089.522094598;86162.69175966224
18766.66486646355;21008.795974354525;4429975.601431511;2008440.0156838284;1930073.9778428525;78366.03784097591
18806.045543935874;17221.076033335095;4078707.6416945932;2634267.698470516;2573154.8444042206;61112.85406629555
18976.123737680617;17676.207335443698;5082653.818088644;3276167.0725503853;3295471.3208321556;-19304.248281770386
18908.738350903703;16022.505424023317;3026926.9604230253;1975672.8782651331;1953158.6440693582;22514.234195774887
18741.57069629354;17999.759025050018;5886923.876087619;4186614.6944743786;4088726.3909024503;97888.30357192829
18742.845304748975;16567.071446989783;3131581.6466662646;1725269.121985775;1686615.3077133424;38653.81427243259
18899.552506636774;18883.530849203114;4894824.092054856;3357760.7860939503;3335500.5628130306;22260.223280919716
18907.423881101484;17545.65070228428;4832585.531711141;2686073.123919128;2593014.688469776;93058.43544935202
18919.093663460226;19242.422920571727;5556617.05932037;3437746.502588004;3434175.9222990135;3570.5802889904007
18978.63499142101;18224.461318372756;4632424.643296853;2704803.0541627794;2628057.875581122;76745.17858165735
18883.84886852347;17151.20351464807;4004689.964190067;2280939.347098616;2279532.031499788;1407.3155988277867
18885.838125178743;21671.647155963965;7010301.015457993;4350174.990592137;4273699.342480127;76475.64811201021
18658.90155794975;20892.34902536782;5978585.044851875;3661579.7843941506;3570612.7617656337;90967.02262851689
18931.28215725998;22047.602896675937;4553951.173726084;2287350.9312141724;2203087.425490855;84263.50572331762
18732.04284601155;19507.96044296216;5058572.722122272;3367913.09243176;3281526.86295317;86386.22947858972
18838.6369653542;17929.4603440488;4165646.3624562435;2689163.5188012645;2602353.275102864;86810.24369840045
18661.200289360084;15540.962578783736;3648093.920971653;2046855.19960529;2009082.911744415;37772.28786087502
19003.184051708697;17555.006748925432;4234431.671617314;2537886.28417762;2473832.8212780664;64053.46289955359
18821.562373744408;13834.482558777825;2157832.611448549;865752.6959138525;836257.0760994226;29495.619814429898
18862.784524587038;19754.248504455896;4616418.85267934;2532795.8198381215;2414785.4499775115;118010.36986061
18825.582234457775;17288.86059135873;4799947.347629541;2978041.952577365;2986366.225378986;-8324.272801620886
18857.46942659766;22164.93404070346;3089570.408734914;1055061.5761869585;966584.3033164619;88477.27287049661
18814.341802599498;19731.393934709515;6723014.589443529;4458144.9506767895;4343685.58233167;114459.36834511906
18856.728351397127;19035.63345061811;3667516.033161118;2266533.5694382233;2185500.328332291;81033.24110593228
18902.57719999859;18844.929741960845;5705268.0128947925;3268309.925678799;3361813.202540395;-93503.27686159592
18851.81066050717;18123.732025722224;4110951.8155891187;2259249.518343066;2242622.1366414856;16627.38170158025
18828.54869146533;17248.89710236693;5114167.179176491;2832367.336946683;2905724.4044894213;-73357.06754273828
18853.511076704573;19649.962650797777;4141046.770475487;2007263.205769035;1845033.607389201;162229.5983798341
18828.907469393576;19712.646273866965;3924562.077686862;1492553.4177642372;1481168.8871258777;11384.530638359487
18885.741129055634;19033.986967636138;5360108.4865120305;3234408.01909135;3136047.478289542;98360.54080180824
18843.61419804818;18929.399981090355;4316890.40761517;2680919.466843367;2639203.252640927;41716.21420243988
18759.213835100913;19868.283346539873;4338408.99475301;2357409.575264089;2377842.0465591243;-20432.471295035444
18863.218804556425;18809.70876623127;3577860.592482148;1732601.2953833775;1648273.375749115;84327.91963426257
18860.331895526735;19280.491856538934;4613096.912270328;2780731.422690261;2660868.983454086;119862.43923617527
18808.471797456703;18683.582184636667;3818310.9224640955;1900725.6688133427;1872896.78544526;27828.88336808281
