"reg_adm","annee","TENURE","tot","superficie_km2","poss_ha","annee.y","ID"
1,2005,"PR",2084900,10645,1.95857209957727,2005,"PR_1"
1,2005,"PU",3162922,24094,1.31274259151656,2005,"PU_1"
1,2006,"PR",2084950,10645,1.95861906998591,2006,"PR_1"
1,2006,"PU",2636447,24094,1.09423383414958,2006,"PU_1"
1,2007,"PR",2084950,10645,1.95861906998591,2007,"PR_1"
1,2007,"PU",2636447,24094,1.09423383414958,2007,"PU_1"
1,2008,"PR",2084950,10645,1.95861906998591,2008,"PR_1"
1,2008,"PU",2636447,24094,1.09423383414958,2008,"PU_1"
1,2009,"PR",2084950,10645,1.95861906998591,2009,"PR_1"
1,2009,"PU",2461300,24094,1.02154063252262,2009,"PU_1"
1,2010,"PR",2631250,10645,2.47181775481447,2010,"PR_1"
1,2010,"PU",2210700,24094,0.917531335602225,2010,"PU_1"
1,2011,"PR",2631250,10645,2.47181775481447,2011,"PR_1"
1,2011,"PU",2210700,24094,0.917531335602225,2011,"PU_1"
1,2012,"PR",2631250,10647,2.47135343289189,2012,"PR_1"
1,2012,"PU",2210700,24094,0.917531335602225,2012,"PU_1"
1,2013,"PR",2631250,10647,2.47135343289189,2013,"PR_1"
1,2013,"PU",2210700,24094,0.917531335602225,2013,"PU_1"
1,2014,"PR",2625978,10647,2.46640180332488,2014,"PR_1"
1,2014,"PU",2351900,24094,0.9761351373786,2014,"PU_1"
2,1988,"PR",808000,3333,2.42424242424242,1988,"PR_2"
2,1988,"PU",8256000,125374,0.658509738861327,1988,"PU_2"
2,1989,"PR",808000,3866,2.09001551991723,1989,"PR_2"
2,1989,"PU",8347325,80655,1.03494203707148,1989,"PU_2"
2,1990,"PR",808000,3866,2.09001551991723,1990,"PR_2"
2,1990,"PU",8347325,80655,1.03494203707148,1990,"PU_2"
2,1991,"PR",814600,3866,2.10708742886705,1991,"PR_2"
2,1991,"PU",8023900,80655,0.994842229248032,1991,"PU_2"
2,1992,"PR",814600,3866,2.10708742886705,1992,"PR_2"
2,1992,"PU",8023900,80014,1.00281200789862,1992,"PU_2"
2,1993,"PR",814600,3806,2.14030478192328,1993,"PR_2"
2,1993,"PU",8039620,75777,1.06095781041741,1993,"PU_2"
2,1994,"PR",814600,3806,2.14030478192328,1994,"PR_2"
2,1994,"PU",8039620,75777,1.06095781041741,1994,"PU_2"
2,1995,"PR",593168,3806,1.55850761954808,1995,"PR_2"
2,1995,"PU",8351420,75777,1.10210486031382,1995,"PU_2"
2,1996,"PR",593168,3806,1.55850761954808,1996,"PR_2"
2,1996,"PU",8351420,75777,1.10210486031382,1996,"PU_2"
2,1997,"PR",593168,3806,1.55850761954808,1997,"PR_2"
2,1997,"PU",8351420,75777,1.10210486031382,1997,"PU_2"
2,1998,"PR",593168,3806,1.55850761954808,1998,"PR_2"
2,1998,"PU",8351420,75777,1.10210486031382,1998,"PU_2"
2,1999,"PR",656300,3803,1.72574283460426,1999,"PR_2"
2,1999,"PU",8640900,75867,1.13895369528253,1999,"PU_2"
2,2000,"PR",606100,3805,1.59290407358738,2000,"PR_2"
2,2000,"PU",9069918,75778,1.19690649001029,2000,"PU_2"
2,2001,"PR",528700,3805,1.38948751642576,2001,"PR_2"
2,2001,"PU",8978319,75778,1.18481868088363,2001,"PU_2"
2,2002,"PR",580800,3805,1.52641261498029,2002,"PR_2"
2,2002,"PU",9085014,75778,1.19889862493072,2002,"PU_2"
2,2003,"PR",580800,4109,1.41348259917255,2003,"PR_2"
2,2003,"PU",9085014,70880,1.28174576749436,2003,"PU_2"
2,2004,"PR",580800,4109,1.41348259917255,2004,"PR_2"
2,2004,"PU",9085014,70880,1.28174576749436,2004,"PU_2"
2,2005,"PR",580800,4109,1.41348259917255,2005,"PR_2"
2,2005,"PU",9085014,70880,1.28174576749436,2005,"PU_2"
2,2006,"PR",580800,4109,1.41348259917255,2006,"PR_2"
2,2006,"PU",7497145,70880,1.05772361738149,2006,"PU_2"
2,2007,"PR",580800,4109,1.41348259917255,2007,"PR_2"
2,2007,"PU",7497145,70880,1.05772361738149,2007,"PU_2"
2,2008,"PR",580800,4109,1.41348259917255,2008,"PR_2"
2,2008,"PU",7497145,70880,1.05772361738149,2008,"PU_2"
2,2009,"PR",580800,4109,1.41348259917255,2009,"PR_2"
2,2009,"PU",7573092,70880,1.06843848758465,2009,"PU_2"
2,2010,"PR",580800,4109,1.41348259917255,2010,"PR_2"
2,2010,"PU",6583800,70880,0.928865688487585,2010,"PU_2"
2,2011,"PR",580800,4109,1.41348259917255,2011,"PR_2"
2,2011,"PU",6583800,70880,0.928865688487585,2011,"PU_2"
2,2012,"PR",580800,4109,1.41348259917255,2012,"PR_2"
2,2012,"PU",6583800,70891,0.928721558448886,2012,"PU_2"
2,2013,"PR",580800,4109,1.41348259917255,2013,"PR_2"
2,2013,"PU",6583800,70891,0.928721558448886,2013,"PU_2"
2,2014,"PR",737071,4109,1.79379654417133,2014,"PR_2"
2,2014,"PU",7003900,70891,0.987981549138819,2014,"PU_2"
