TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19299.235911104224;19368.007348975836;1429510.6929695657;1309268.1142691956;1278242.963364962;31025.150904233567
19148.845220683863;21276.107725796963;1290336.6047908443;1161946.2104659423;1106579.8514173708;55366.35904857144
19217.150837020083;19966.55344803037;1274334.4563224686;1160164.7234007705;1115563.6343869239;44601.08901384659
19243.37837862037;19497.23860300129;1438896.0086470153;1316207.2009219443;1276707.0874789732;39500.11344297114
19219.222044701037;18140.797664469963;1539546.097127969;1439520.7897704225;1405870.777819904;33650.01195051847
19206.16307615349;18454.18704085879;766956.3970910725;634634.2940565355;596490.3998957933;38143.89416074217
19304.44067207556;18713.700753183606;1598310.9493831536;1479918.7683399948;1434014.4544238267;45904.313916168176
19219.382117948386;19686.642011897133;1382840.3432393095;1283028.3792296678;1241807.930182057;41220.44904761086
19318.928526889173;19191.301817721236;1228636.2074075346;1097245.6553643458;1047625.631615089;49620.02374925674
19225.111136358973;18933.114291357626;1121924.4871716567;1034116.9123342221;981752.182425321;52364.72990890115
19215.56794356438;18348.694123076533;1186801.238406199;1085724.6415549917;1045316.3812101148;40408.26034487691
19224.93173891172;18025.703377434394;1257569.7148953057;1143605.4623658722;1105332.620177409;38272.84218846331
19302.70530178147;18677.58525085015;1266922.9398110034;1154940.9449953758;1114421.9154916853;40519.029503690545
19289.68966179396;19573.638006234196;1141122.0171671456;1020636.9587134866;976019.8019628199;44617.156750666676
19290.451646070527;19049.70336699094;1373047.486859261;1254542.3640162963;1223458.98558724;31083.378429056378
19214.017247223128;20733.480791021655;1076945.6503343647;965414.6717229502;904375.3939099156;61039.2778130346
19236.30078248698;19095.147920471547;1394266.2963257076;1300239.6864272945;1260940.215733718;39299.470693576615
19222.732629451613;16933.488722577396;1177034.1868591912;1089565.8108239926;1053127.301714726;36438.50910926657
19247.595737555603;19111.746521817495;1469831.465590574;1349437.3473449347;1314628.0067337025;34809.34061123221
19258.91406138169;19678.919683196546;1247315.940264177;1115995.2908237926;1073130.5165670428;42864.77425674978
19242.754231275685;18187.492287772737;1420643.3038288706;1323036.38752314;1280427.0879311918;42609.29959194828
19298.811275760818;18875.85985830101;621785.1467918353;514820.70905309357;475938.64847458794;38882.060578505625
19252.78615480861;20394.053918857364;1062113.0700423229;941992.0934363634;900913.3641276767;41078.729308686685
19234.48029700667;19045.107292793193;1348696.484046116;1210681.1651338474;1173615.004323797;37066.16081005032
19304.704632605328;18384.669042391495;1227935.9646600275;1123602.0620306851;1080917.9532802156;42684.10875046952
19254.605079964003;21302.870852579475;1415501.0664317799;1288900.812975462;1239392.8527417853;49507.96023367671
19222.930577800013;18204.15395578726;1109171.4282163277;1014868.1505333773;967506.8262399917;47361.32429338561
19250.401059408847;20821.523309974706;1149175.1336272976;1008593.4769431942;963954.1894829123;44639.28746028186
19221.74295342073;18563.402955127884;1077958.4095651195;941914.9429350853;901408.4531382339;40506.48979685141
19262.209980727603;18486.855388634114;1342528.1999645154;1221811.2655309383;1164731.7847729472;57079.480757991085
19279.36086004067;17914.273924372912;937486.6639438929;846148.2172013425;809264.4325125373;36883.78468880511
19313.792483610112;19148.86285851309;1093356.7785844465;1000186.6306178245;955308.3191705544;44878.3114472701
19241.23066868069;19930.12460086564;1056879.831600192;930498.9876927931;899261.4017907316;31237.585902061546
19255.999654214076;19791.135093848785;1167016.954340352;1050512.364772846;1003374.7643161925;47137.60045665363
