VegPotID;SubModuleID;ParameterEstimate
1;1;-5.4777977947588
1;1;-0.0291215717402
1;1;-0.0637518680708
1;1;-0.1136479983073
1;1;-0.0716799372618
1;1;0.00222291966286
1;1;0.00442578656062
1;1;0.00566436340095
1;1;0.00515628305182
1;1;-0.4293809704828
1;1;1
1;2;-0.084628401205
1;2;0.15812523832064
1;2;0.35482346033878
1;2;-0.3583949574989
1;2;0
1;2;0.00245937958838
1;2;-0.0417531381779
1;2;0.01158106884709
1;2;0.00900012961005
1;2;0.61411020044733
1;2;-0.0176075157427
1;3;-3.3954138819659
1;3;2.44200948838223
1;3;-0.512984190607
1;3;0.13130598715536
1;3;0
1;3;1.36686440554027
1;3;-0.1455966496895
1;3;-0.0520850139948
1;3;-0.008238058631
1;3;-0.0423101895939
1;3;0.04701792688654
1;3;0.40945940185075
1;3;0.10988571227839
1;3;0.14355097792242
1;4;-2.9689615798683
1;4;1.50179122348112
1;4;2.347458140293
1;4;2.43371562128201
1;4;0
1;4;-0.0210583594907
1;4;-0.1067135464039
1;4;-0.0683800296073
1;4;0.02659135845964
1;4;0.65836183351847
1;5;0.62033433273966
1;5;-0.0332558363889
1;5;-0.0817064211851
1;5;-0.0377405424777
1;5;-0.0199791650301
1;5;0.49162577779598
2;1;-4.568091863108
2;1;0.1697054083725
2;1;0.67245871167377
2;1;0.97648091401291
2;1;0
2;1;1
2;2;-0.121448394
2;2;0.30630394769598
2;2;0.25570444548403
2;2;0.40839771454424
2;2;0
2;2;0.03444508038014
2;2;-0.0004144543815
2;2;0.3712707364713
2;2;-0.019129908977
2;3;-3.7202908058577
2;3;1.44916663486699
2;3;3.64396756947019
2;3;3.34391220808694
2;3;0
2;3;1.10992506041322
2;3;-0.1036118628146
2;3;-0.1920967922096
2;3;-0.2096293861485
2;3;0.01485165421923
2;3;0.14844605362258
2;4;-0.4708373758047
2;4;-1.5477535710296
2;4;0.20835218396126
2;4;0.8152920447207
2;4;0
2;4;0.00386238813156
2;4;-0.0803242440998
2;4;-0.1446522259552
2;4;-0.0632812130075
2;4;1.0003857570775
2;5;0.16216817817105
2;5;0.50857589971034
2;5;0.79722086004425
2;5;0.86168968556639
2;5;0
2;5;-0.0286087919407
2;5;0.57375876038518
3;1;-0.1343323980253
3;1;0.38498134469459
3;1;0.65578784292074
3;1;0.60183910344347
3;1;0.39893004653297
3;1;0.16430163844509
3;1;-0.1386305024662
3;1;1.01007950754674
3;1;0.1306956391112
3;1;1.21186806857122
3;1;-0.5493757909649
3;1;0.53913535115801
3;1;0.83425445901777
3;1;-0.6167026653693
3;1;0.88502755133384
3;1;0
3;1;0.08125807094957
3;1;-2.0945630897928
3;1;0.0224251892762
3;1;0.15495776950047
3;1;0
3;1;-0.20228749036
3;1;0
3;1;0
3;1;0
3;1;-0.2055897093233
3;1;0
3;1;0
3;1;0
3;1;0
3;1;0
3;1;0
3;1;0
3;1;0
3;1;0
3;1;1
3;2;-0.6556608567217
3;2;0.39240635882782
3;2;0.17955408801504
3;2;0.60728083421654
3;2;0.13773036261958
3;2;0.31455414797402
3;2;0.27819986171227
3;2;0.06399301804293
3;2;0.42613997288563
3;2;0.00004305187077
3;2;0.34677347638701
3;2;-0.0178891145094
3;2;0.5217675151365
3;2;-0.0461539903694
3;2;0.37175224244292
3;2;0
3;2;0.02607377615853
3;2;0.0320491663277
3;2;0.01387142789561
3;2;0.03671267932342
3;2;0.03363387291388
3;2;0.03201488995557
3;2;0.04205574810305
3;2;0.04200476408715
3;2;0.04693994230939
3;2;0.03546892884977
3;2;0.02254247231301
3;2;0.03489592881869
3;2;0.04233933654129
3;2;0.03241232592532
3;2;0.03967057278089
3;2;-0.000407617206
3;2;0.641634206701
3;2;-0.0191713526551
3;2;-0.2000132892218
3;2;0.07449189216603
3;3;-3.2042524520401
3;3;0.02805397238875
3;3;0.505772828974
3;3;0.59310126648758
3;3;-2.4716593699166
3;3;0.18086626301218
3;3;1.78175664364956
3;3;-0.1305141502068
3;3;-0.3640338401187
3;3;1.10654277081359
3;3;-0.5550185255566
3;3;-1.4283603020749
3;3;0.94791085210947
3;3;-2.9083847296395
3;3;-0.8574693466911
3;3;0
3;3;1.12668165115793
3;3;-0.0961622418885
3;3;-0.1602153984945
3;3;-0.2262230870759
3;3;-0.0144754254695
3;3;-0.0853866784508
3;3;-0.0689452959803
3;3;-0.0844683161915
3;3;-0.120742829881
3;3;-0.1805937655271
3;3;-0.0407668982498
3;3;-0.0385491306994
3;3;-0.2171258791622
3;3;-0.0196561415379
3;3;-0.0290329246339
3;3;-0.1387619610306
3;3;0.16349176856177
3;3;0.11037825999566
3;3;0.30425024062514
3;3;0.43759279850441
3;3;0.19094557238812
3;3;0.04631741046333
3;3;0.19079220230275
3;3;0.60633105563686
3;3;0.06947097911298
3;3;0.24687841770812
3;3;0.42703455115836
3;3;0.24813607793764
3;3;0.33998141293124
3;3;0.31504306397882
3;3;0.23141943217791
3;4;-2.9521478473907
3;4;0.46059421577974
3;4;-1.7632833758857
3;4;4.74432286251417
3;4;1.88057100351286
3;4;0.3693991050242
3;4;2.37495300310326
3;4;-0.4713779731612
3;4;0.40611264428234
3;4;1.19757948088564
3;4;0.89359633049148
3;4;0.96157983433901
3;4;1.26139279452174
3;4;4.22867191983698
3;4;0.94665962103294
3;4;0
3;4;-0.0681777917467
3;4;-0.0133063055844
3;4;-0.1041168877183
3;4;-0.0392382225389
3;4;-0.0625035126466
3;4;-0.0687766103962
3;4;0.00935804280103
3;4;-0.1540673750901
3;4;-0.1200267129473
3;4;-0.0430863214942
3;4;-0.0430897476758
3;4;-0.0924281465124
3;4;0.00039957304358
3;4;-0.0420325228954
3;4;-0.0860346095557
3;4;0.1761694522224
3;4;0.61416416463995
3;4;-0.5478333457121
3;4;-0.6118070182384
3;4;0.32960889219749
3;4;-0.0295002681632
3;4;0.29252662666389
3;4;0.28219828966003
3;4;0.23374441096328
3;4;0.09170482180577
3;4;-0.0868284080727
3;4;0.22540549013018
3;4;-0.7705071913511
3;4;0.31311040969218
3;4;0.22600741593227
3;4;1.34028744895024
3;5;0.66022636335877
3;5;-0.2879207916997
3;5;-0.1075318581298
3;5;0.00625127126767
3;5;0.00336167311514
3;5;-0.4621877167841
3;5;-0.0683780278386
3;5;-0.0231423785466
3;5;-0.037917611985
3;5;-0.4632232036723
3;5;-0.0995626251361
3;5;-0.8577872703323
3;5;0.06333568199323
3;5;-0.1115031904704
3;5;-0.256989478733
3;5;0
3;5;-0.0233271478287
3;5;-0.0357306437831
3;5;-0.0397358249679
3;5;-0.043311579024
3;5;-0.0135433893498
3;5;-0.0449216024284
3;5;-0.0336098718573
3;5;-0.0212280872126
3;5;-0.0074090231242
3;5;-0.0366965396438
3;5;-0.0189067871556
3;5;-0.0264864861588
3;5;-0.0225593480085
3;5;-0.0296281413076
3;5;-0.0458723297022
3;5;0.02174991924009
3;5;0.27196845908884
3;5;0.59205470985197
4;1;-6.8326282387597
4;1;8.40575811851791
4;1;5.49884055842213
4;1;6.94976180001465
4;1;4.08864762800871
4;1;-0.0916789366154
4;1;8.49410855082154
4;1;5.85216215688363
4;1;7.59062364546801
4;1;7.76191577898475
4;1;14.4945519127433
4;1;2.62231663948504
4;1;4.03869987016635
4;1;11.3624185935521
4;1;9.92471870627526
4;1;1.4975571681514
4;1;5.45151611329031
4;1;4.95329530105999
4;1;0
4;1;0.07012277107811
4;1;0.06582539233632
4;1;0.10363439977544
4;1;-0.0408917411199
4;1;-0.0786396516527
4;1;0.14441776135803
4;1;0.17713519882028
4;1;0.11424333178708
4;1;0.11594247466522
4;1;0.26203300794101
4;1;-0.0013905201677
4;1;0.09766955859056
4;1;0.44095452993845
4;1;0.14558838962744
4;1;-0.0803242389562
4;1;0.10926519734311
4;1;0.10544328718153
4;1;-0.0709769479734
4;1;-2.2852668825237
4;1;-1.5641291657088
4;1;-2.1916879130927
4;1;-0.1804755491524
4;1;1.18459712210029
4;1;-3.0389085597274
4;1;-1.459738302164
4;1;-2.5606577953236
4;1;-2.8188918780524
4;1;-6.1421328792374
4;1;0.10121361066141
4;1;-1.4277156001554
4;1;-5.5917454032208
4;1;-3.4670164792175
4;1;1.46628505049648
4;1;-2.2383620418661
4;1;-1.2049472620288
4;1;1.30247552883236
4;1;0.02267976290844
4;1;0.2204054921586
4;1;0
4;1;0
4;1;-0.1393053080868
4;1;0
4;1;0
4;1;0
4;1;0
4;1;0
4;1;-0.1218995566896
4;1;0
4;1;0
4;1;0
4;1;0
4;1;0
4;1;0
4;1;0
4;1;0
4;1;0
4;1;1
4;2;-0.8951605727206
4;2;-0.1956725081091
4;2;0.41677009954306
4;2;0.2442061043437
4;2;0.53292114550256
4;2;0.56405663245045
4;2;0.09131697169376
4;2;0.93777413479034
4;2;0.31174507045341
4;2;0.26238763679418
4;2;0.72272103003662
4;2;0.1256519865931
4;2;0.36591031481819
4;2;0.21793828772197
4;2;0.37315746058538
4;2;0.42365862288948
4;2;0.08038145716996
4;2;0.20036658984127
4;2;0
4;2;0.04691595681338
4;2;0.02247660442693
4;2;0.02289113704644
4;2;0.00710490130146
4;2;0.02723873789897
4;2;0.03226259335595
4;2;-0.0455551559345
4;2;0.02531386179517
4;2;0.02669314655857
4;2;0.02097975932968
4;2;0.02799085005604
4;2;0.02839188766809
4;2;0.00120210087761
4;2;0.03380412695052
4;2;0.00440677169211
4;2;0.03691643627284
4;2;0.03268136152688
4;2;0.03271669520012
4;2;-0.0003857020372
4;2;0.66451598821599
4;2;-0.018576547366
4;2;-0.2152044680367
4;2;0.07650664772317
4;2;0.0002823708707
4;3;-5.6269849495321
4;3;1.37016343342457
4;3;3.92628664494974
4;3;4.27042898131913
4;3;-0.8400791316034
4;3;-0.6986307294064
4;3;2.99943359311927
4;3;2.34462529854097
4;3;3.02087361547607
4;3;5.80351075230043
4;3;-6.1839479721234
4;3;-0.4430844386898
4;3;1.44603188028301
4;3;-0.4465096327687
4;3;3.46394278489896
4;3;4.71480881798568
4;3;-3.067993051897
4;3;3.02248354013375
4;3;0
4;3;0.92263082353621
4;3;-0.141740452588
4;3;-0.0761299163925
4;3;-0.1489149272266
4;3;-0.1465795818929
4;3;-0.106478809053
4;3;-0.0521496588123
4;3;-0.0356799602915
4;3;-0.0863019157139
4;3;-0.053527670269
4;3;-0.1113155505693
4;3;-0.0279298340101
4;3;-0.0216054397471
4;3;-0.0316851378471
4;3;-0.2395499782933
4;3;-0.1803948948619
4;3;0.02260499866638
4;3;-0.0290838858035
4;3;-0.0701364244185
4;3;0.42294085912488
4;3;0.16558820936396
4;3;0.1818912782167
4;3;0.26330077687431
4;3;0.95490016473134
4;3;0.33600369331791
4;3;0.4425288611017
4;3;0.1537056994253
4;3;0.05583520710563
4;3;0.32454911674276
4;3;0.75116742488622
4;3;0.27970193433072
4;3;0.80332423785664
4;3;0.1697536884185
4;3;0.3991828309832
4;3;0.42857501857158
4;3;0.13765421056437
4;3;0.65454159657096
4;3;0.5030368039641
4;3;-0.0216570005358
4;3;-0.0687781638146
4;3;0.7980836065561
