VegPotID;SubModuleID;ParameterEstimate
1;2;0.02734163325865
1;2;0.01023518997888
1;2;0.15187229661413
1;2;0.11888822667504
2;2;0.01011791979385
2;2;0.013249425975
2;2;0.14476821157399
2;2;0.15397702281555
3;2;0.01694665536083
3;2;0.01721122777237
3;2;0.17374781039137
3;2;0.16556877370781
4;2;0.01770248548534
4;2;0.01767965334367
4;2;0.17800325829465
4;2;0.15779158871776
5;2;0.01573037620332
5;2;0.01765674874012
5;2;0.15283798985516
5;2;0.16683046994971
6;2;0.01654604522507
6;2;0.01615868532003
6;2;0.18051518035739
6;2;0.14256016024734
7;2;0.01031753478297
7;2;0.0108478729531
7;2;0.17493469286532
7;2;0.12273454173159
8;2;0.02959950728459
8;2;0.01060876084702
8;2;0.13975493254228
8;2;0.1390409195658
9;2;0.03413628480769
9;2;0.01028876799376
9;2;0.15858239613483
9;2;0.1552770676749
10;2;0.01979469461756
10;2;0.01567591821
10;2;0.16408193274041
10;2;0.15728258795313
11;2;0.01768771357864
11;2;0.01913208844416
11;2;0.16561959620716
11;2;0.15277118145629
12;2;0.01116148245419
12;2;0.02050305781381
12;2;0.16245561494817
12;2;0.13852048085518
13;2;0.02406996755299
13;2;0.02872918869094
13;2;0.17107490836472
13;2;0.11460214590694
14;2;0.0217532946802
14;2;0.02302041620401
14;2;0.15308576366481
14;2;0.12349229931455
15;2;0.14553997238375
15;2;0.02176824297834
15;2;0.10385169369073
15;2;0.15601363850555
17;2;0.02634166709252
17;2;0.0155082233184
17;2;0.15386826268867
17;2;0.11566069092612
18;2;0.09218740288904
18;2;0.00887039914513
18;2;0.13755078239011
18;2;0.05339769806258
19;2;0.09399156344241
19;2;0.01444625473266
19;2;0.13318188853026
19;2;0.0722716370059
20;2;0.0533474083286
20;2;0.01547308412214
20;2;0.13763885111936
20;2;0.06406943025239
21;2;0.02864271288462
21;2;0.0100709313978
21;2;0.13816609400067
21;2;0.15199732026831
22;2;0.03549606289153
22;2;0.01736569792052
22;2;0.13981599673698
22;2;0.12603427318833
23;2;0.07858699538938
23;2;0.01592748684488
23;2;0.14294363733571
23;2;0.09467825137444
24;2;0.08249814757449
24;2;0.0216886395399
24;2;0.14879942358994
24;2;0.09658604351665
25;2;0.01170656641699
25;2;0.02609760484404
25;2;0.16418964040108
25;2;0.12770315554963
26;2;0.01156733056553
26;2;0.01070180639005
26;2;0.13372296984052
26;2;0.15695328134837
