"b1.(Intercept)","b1.Qualite2C","b1.Qualite2D","b1.Qualite2NC","z1.(Intercept)","z1.Qualite2C","z1.Qualite2D","z1.Qualite2NC","z2","z3","z4","a0","a1","a3","b2","c1","c2","d2"
0.407249481587117,-0.0220517267260911,-0.0780480739294487,-0.293515171929341,-6.92744585136532e-05,-1.31332542638275e-05,-8.23012257096303e-06,-0.000137346583020827,6.47728983552949e-05,-0.0189446446678091,2.40571459509726e-07,0.155084794459012,-0.0013306883476629,-0.379615386501537,1.42190157297142,0.0656783784026638,0.00200935413812729,-1.51776185825766e-05
-0.0220517267260911,0.0590326498937802,0.0439459641460478,0.0294969662052005,-4.14241436645273e-05,3.74516334905401e-05,3.06895178531824e-05,1.38994160338127e-05,-0.000110425169014556,0.00316842372192828,2.87330998391911e-08,0.0029210625798183,-1.51128440233735e-05,0.940176434536422,0.0943207369950548,-0.048755608859512,-0.00178794933427014,3.04935947854056e-05
-0.0780480739294487,0.0439459641460478,0.342156866345388,0.0688344988272763,-3.43266035465969e-05,2.51194000039862e-05,0.00014778047135283,2.86097985412008e-05,-0.000164799764128679,0.00774066525814852,4.51744589375682e-09,-0.0188607084790608,0.00318807917250183,0.17161018097255,-0.119350017745365,-0.0642679997834601,-0.00229160133753227,4.08410642445144e-05
-0.293515171929341,0.0294969662052005,0.0688344988272763,0.261762098576265,3.54894866238167e-05,1.89918172671127e-05,1.69087713730463e-05,0.00014506297259231,9.78189709003219e-05,0.00262241101020729,-1.60341088493085e-07,0.0380771188011371,2.64723694307618e-05,0.631269453569162,-0.972302198392805,-0.0674027034520061,-0.00216104257608325,2.19426558765183e-05
-6.92744585136532e-05,-4.14241436645273e-05,-3.43266035465969e-05,3.54894866238167e-05,4.8205848969798e-06,-1.66176590378749e-06,-2.09719280511082e-06,-2.21106233572177e-06,-4.72818574941498e-06,0.000150231375651387,-9.25096426459668e-09,9.67069534167722e-06,-4.75583254079129e-07,-0.00157548219157733,-0.00042823302737964,0.000164362384458444,5.95473222717756e-06,-7.32827426160052e-07
-1.31332542638275e-05,3.74516334905401e-05,2.51194000039862e-05,1.89918172671127e-05,-1.66176590378749e-06,1.73587056096889e-06,1.34772487349122e-06,1.76194576226501e-06,6.619076656818e-06,-0.000252152295760824,1.36850401777213e-09,-8.717343997795e-07,-1.17232744486796e-06,0.0015736442504439,6.38586279945453e-05,-0.000125845377272564,-4.15146143875476e-06,3.30244535778066e-07
-8.23012257096303e-06,3.06895178531824e-05,0.00014778047135283,1.69087713730463e-05,-2.09719280511082e-06,1.34772487349122e-06,2.60337969373142e-06,1.85494917130161e-06,6.66008747071947e-06,-0.000250308796417322,2.43163333495894e-09,-6.48244998393427e-06,-1.22003133264709e-06,0.00180029207609266,0.000101236777285807,-0.00013080996532596,-4.65303999129125e-06,5.24367210685979e-07
-0.000137346583020827,1.38994160338127e-05,2.86097985412008e-05,0.00014506297259231,-2.21106233572177e-06,1.76194576226501e-06,1.85494917130161e-06,7.28057358119114e-06,2.49689456480135e-05,-0.000586337441313737,2.74729963576048e-09,1.25378659250083e-05,-9.36324249822329e-07,0.00150768124227674,-0.000418581541695809,-8.3287112165494e-05,-3.07585257843492e-06,3.82740277199785e-07
6.47728983552949e-05,-0.000110425169014556,-0.000164799764128679,9.78189709003219e-05,-4.72818574941498e-06,6.619076656818e-06,6.66008747071947e-06,2.49689456480135e-05,0.00041691141786356,-0.0183097703902103,1.22327931461291e-08,-0.00129483397733735,2.33039353948663e-05,-0.00512441396504855,0.000142816289134763,0.000637874118598646,1.94115399831452e-05,-1.80565476275286e-06
-0.0189446446678091,0.00316842372192828,0.00774066525814852,0.00262241101020729,0.000150231375651387,-0.000252152295760824,-0.000250308796417322,-0.000586337441313737,-0.0183097703902103,0.912052887593479,-3.90771289913026e-07,0.109475155981218,-0.00152669992517048,0.273339834601862,-0.0704238097746372,-0.025014977467534,-0.000747254819837374,7.10044644465195e-05
2.40571459509726e-07,2.87330998391911e-08,4.51744589375682e-09,-1.60341088493085e-07,-9.25096426459668e-09,1.36850401777213e-09,2.43163333495894e-09,2.74729963576048e-09,1.22327931461291e-08,-3.90771289913026e-07,2.31854308009431e-11,2.26966593457068e-09,3.39096314493845e-10,4.35650143421841e-07,1.01320789438212e-06,-1.0559428276347e-07,-4.02282172918834e-09,5.94803541722601e-10
0.155084794459012,0.0029210625798183,-0.0188607084790608,0.0380771188011371,9.67069534167722e-06,-8.717343997795e-07,-6.48244998393427e-06,1.25378659250083e-05,-0.00129483397733735,0.109475155981218,2.26966593457068e-09,13.3005077194667,-0.127307597405048,17.8084789199968,0.583340163048073,0.00430879451748612,0.000282891758792411,-7.0606318295312e-05
-0.0013306883476629,-1.51128440233735e-05,0.00318807917250183,2.64723694307618e-05,-4.75583254079129e-07,-1.17232744486796e-06,-1.22003133264709e-06,-9.36324249822329e-07,2.33039353948663e-05,-0.00152669992517048,3.39096314493845e-10,-0.127307597405048,0.00466357680698389,-0.98895952277772,-0.00481449119218366,0.0159863937953062,0.000423101474527595,3.68257028175859e-06
-0.379615386501537,0.940176434536422,0.17161018097255,0.631269453569162,-0.00157548219157733,0.0015736442504439,0.00180029207609266,0.00150768124227674,-0.00512441396504855,0.273339834601862,4.35650143421841e-07,17.8084789199968,-0.98895952277772,1347.43095893209,2.15465194242624,-3.18698755314142,-0.101725665980276,0.00317044888368631
1.42190157297142,0.0943207369950548,-0.119350017745365,-0.972302198392805,-0.00042823302737964,6.38586279945453e-05,0.000101236777285807,-0.000418581541695809,0.000142816289134763,-0.0704238097746372,1.01320789438212e-06,0.583340163048073,-0.00481449119218366,2.15465194242624,5.62507176524906,-0.0525854382520776,-0.00277141848392073,9.48410819312662e-05
0.0656783784026638,-0.048755608859512,-0.0642679997834601,-0.0674027034520061,0.000164362384458444,-0.000125845377272564,-0.00013080996532596,-8.3287112165494e-05,0.000637874118598646,-0.025014977467534,-1.0559428276347e-07,0.00430879451748612,0.0159863937953062,-3.18698755314142,-0.0525854382520776,2.59198331557366,0.0744087199873735,-0.000412281393999825
0.00200935413812729,-0.00178794933427014,-0.00229160133753227,-0.00216104257608325,5.95473222717756e-06,-4.15146143875476e-06,-4.65303999129125e-06,-3.07585257843492e-06,1.94115399831452e-05,-0.000747254819837374,-4.02282172918834e-09,0.000282891758792411,0.000423101474527595,-0.101725665980276,-0.00277141848392073,0.0744087199873735,0.00217097314906702,-1.56059160305138e-05
-1.51776185825766e-05,3.04935947854056e-05,4.08410642445144e-05,2.19426558765183e-05,-7.32827426160052e-07,3.30244535778066e-07,5.24367210685979e-07,3.82740277199785e-07,-1.80565476275286e-06,7.10044644465195e-05,5.94803541722601e-10,-7.0606318295312e-05,3.68257028175859e-06,0.00317044888368631,9.48410819312662e-05,-0.000412281393999825,-1.56059160305138e-05,1.46562714481911e-05
