RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5;Mean6;Var6;Mean7;Var7
1;95360.58366436145;1.0096363278345232E8;7521.055300743609;654380.5835406223;4978.959807888219;508321.2796602609;1568.454437247163;336463.951276026;784.4199791086326;39296.629068308604;77.80457327090784;5264.273675034063;111.41650322868631;346.6135907156971
2;95268.0188743418;1.0062704909710293E8;7533.556563162167;655412.4546657887;5009.96498893398;400806.019316066;1467.4995705464707;202695.78763443927;730.4971571030696;31625.813934966325;226.53930351929205;68657.1998724694;99.0555430593542;648.6367107492433
3;95346.01645827378;1.007271064822496E8;7541.299054445305;652432.9427001261;5009.14743026933;355489.85666843475;1436.8550952962366;138615.8645148876;710.8984351443166;23732.681939302187;293.82936531573563;62770.86669787132;90.56872841968753;647.4477735601464
4;95344.95974927569;1.0078812517967518E8;7564.104928354994;651695.6640959191;5025.102098723715;330451.5985463902;1463.0152520923666;107378.66078166869;687.732693689183;21210.66975272566;293.3158046116252;46580.09418382986;94.93907923810447;599.3156526009587
5;95333.8851590876;1.0077966067421025E8;7532.544620385603;651737.1435801492;5027.429686018622;328394.67344908183;1410.3869059718854;101218.23332741769;702.1882099981973;18986.440873008418;295.22129508933637;37202.08898706718;97.31852330756249;523.9533993756238
6;95326.8408750376;1.0075744234888469E8;7553.513582820243;662524.3872395173;5054.346592892305;327552.5321499744;1393.2680004969752;85913.94661995705;728.329018612504;22198.780518542248;278.20657599007353;32197.611081480343;99.36339482838567;463.12512338849444
7;95268.25896449893;1.006146049392861E8;7525.608866328932;662016.1599473174;5079.774435583931;325481.48819894093;1350.1409309661515;86723.46059068078;711.2445146118822;21740.231985575505;287.9829161572104;27534.44095574433;96.46606900975706;430.2815287132629
8;95280.99847434038;1.0069011517647716E8;7498.069695298474;664199.1122954391;5116.068870832308;335608.3935450236;1324.718341537954;81348.78140851573;694.4439212848974;22415.980128025403;270.4912915584294;25833.79494905323;92.34727008488522;490.1328845945069
9;95270.92127562371;1.0061826190056372E8;7531.81673081004;679709.3021793283;5101.299738498708;326406.22414706106;1361.7170444955457;85748.89727408999;698.2078605125711;21179.702333161687;277.6145594833031;22826.958062335656;92.97752781991285;435.21741704145035
10;95287.74944407305;1.0065444204275593E8;7540.802409710232;678250.6230022972;5096.067977465936;324396.1918539769;1360.5797416144974;76992.01591437226;705.5865452756893;20327.103932576072;281.49047587345257;20379.114561900955;97.07766948065755;580.6824513028006
11;95261.042037979;1.00615244083857E8;7548.608897022272;677823.6385593417;5120.0188634128845;330734.4904014278;1335.1586691298746;77277.45760679722;710.4750394702162;19441.03948690165;286.3715545187928;18627.02688865016;96.58477049050484;525.2586397392256
12;95261.49769447991;1.0060885173581472E8;7533.591844802445;677084.9926303902;5086.52203099605;334523.50937615207;1335.039645122164;71254.07545619117;712.5103385427677;18905.845976620418;302.85341980504717;20435.004203118;96.66641033641804;498.46658730176006
13;95259.01334243258;1.0060404515980256E8;7543.688518463412;678583.1515831127;5078.350059577031;327270.29391870764;1350.6164548433255;69381.49848977699;713.4631108659046;18117.037543199032;304.81398062224775;18873.215079330308;96.4449125549051;452.59702917542415
14;95252.78134092924;1.0057727171786143E8;7526.212903345487;678151.621354892;5087.284059428199;327802.9819331921;1333.5456743515215;67037.85822517824;711.0345277766163;17296.09968640384;298.18695444453476;17997.482892729873;96.16168734461766;427.191921041118
15;95247.9845895005;1.0058015711836693E8;7512.275965691034;678210.2261650864;5089.216793798839;323535.4866710578;1323.013893702437;63805.65551090429;697.3195665741716;19302.421274959408;305.9997301674507;17513.799146256242;96.72598144813757;406.0524828923195
