RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5;Mean6;Var6;Mean7;Var7
1;94678.64944768483;3.3273656211703405E7;7694.7029547826405;272347.95414006594;4677.135814900868;103711.31143524365;1589.5710137227793;10041.126698251335;980.8812372873449;10394.956284986545;312.27415604672774;1174.780494428846;134.8407328249197;130.54117806966752
2;94770.38017048589;3.3352785135780312E7;7653.22858399946;254166.22301905943;4658.370953817743;92456.826187254;1638.2513456491124;12639.656906023505;877.6398720868508;38272.71804313248;340.43540916872075;2224.159184619088;138.53100327703288;138.70088300481473
3;94773.38428115923;3.3311118417197578E7;7650.68924784667;245015.63153456946;4625.100969670699;90511.13858132005;1694.0814532659397;22637.40463981006;837.5433348688387;33189.35061743506;361.2166865966877;2063.1774564071707;132.74680344450402;231.94069710841248
4;94747.7262659598;3.3306433652144354E7;7695.82513295822;253473.83704833654;4706.444107251622;123532.73727851293;1659.2994600137952;21924.41421646787;864.9206441940831;30168.43954705882;333.1721617676238;4670.226497515552;131.9887597310953;178.90353004948327
5;94743.70803471166;3.326145381285398E7;7727.664179444089;258880.04855685186;4738.47081851782;122688.73356767907;1633.6764408631934;20468.5053404367;857.8940721929072;25436.00288811111;366.5326544226717;10078.890517503754;131.09019344749635;163.40037565943996
6;94793.11177056465;3.334752215598746E7;7711.697690528094;257499.86977962966;4734.8904502384075;116325.00021308278;1628.177404601157;17747.81490609151;865.1061924309793;22529.898815719465;351.6730248335202;9479.792756168583;131.85061842402877;139.6221851476666
7;94814.92722363578;3.336789881188447E7;7686.039426939396;258261.21295126333;4727.543423044339;110777.85610025193;1564.0880308529843;46486.632139476336;885.5159657610907;23495.794112065872;376.610930719065;12623.918696804036;132.28107656191614;124.8842400918042
8;94805.48765728048;3.3376860823372804E7;7701.177413269072;258398.15591278777;4742.128713202005;108229.16022683377;1540.387148919803;45806.67826543647;903.2230531652289;24280.723164409876;382.38151039583505;11047.631867871843;133.05698758619906;126.28455105319844
9;94801.73123799305;3.334779998240851E7;7706.460154313741;256633.0022997917;4732.639368210713;105895.1347017271;1544.6076769518404;40839.539418734115;906.9570539604156;22453.88983537376;387.5347253032587;9694.272358615013;134.72132988751338;150.42389075609987
10;94800.70826740032;3.3362650197859667E7;7705.795792247427;253814.91044031628;4721.835847391977;104554.77977628818;1557.6939628462583;38519.246876470264;903.703664643563;20823.144613387063;389.3913650844866;8439.051107538162;133.170952281142;150.60494750386792
11;94820.22654310634;3.337370175300198E7;7692.679342155643;252224.39909367447;4699.631862620474;107184.16714962269;1570.561906998468;37249.480929926365;891.5459154735815;20992.138512639234;399.40959833847694;8676.119359740602;131.53005872464226;167.05278455753427
12;94825.92134066627;3.3377344750396796E7;7689.458653393099;250966.42105457143;4689.465615980296;105930.76702494905;1579.2880086909604;35117.207038836095;885.4509009336032;20002.229232768528;404.6626935353089;8159.509541166762;130.59143425293058;165.2240132281178
13;94840.60606434678;3.3384334787156586E7;7678.336201736662;250177.32723552358;4691.750147377866;104300.03555102761;1559.6811154350298;36876.83094992537;887.0840299822881;18819.697363668252;409.1248973777259;7303.10596036627;130.6960115637518;152.46599267152513
14;94841.06583362368;3.3382923547487237E7;7676.101639440476;248782.0830421333;4691.853312675598;102250.13458778152;1553.210974530318;35140.313185259954;890.2492203323386;17932.386443334206;411.6350240822311;6604.707453639365;129.15310781998994;178.7563589617537
15;94824.58025769511;3.3390391277425032E7;7669.116374396738;249153.78704736236;4697.980046476772;101364.91409569173;1549.979686702125;32497.88811237857;886.5116126727297;17248.44998862475;401.07946865990715;7752.717292175173;133.56555988520344;488.4621465796395
