RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5;Mean6;Var6;Mean7;Var7
1;81237.15348915636;2.386638500985315E8;6195.886347364341;1461026.221323321;4151.457203323801;840933.3254851962;857.2447059281942;31925.21546229827;810.8939249688888;30360.626496993882;295.0490040372831;7827.428416574845;81.24150910617354;1034.7616785854882
2;81169.97799711266;2.383849864455462E8;6270.085254939256;1424615.4653538438;3994.4741743676414;696600.6585381313;1090.789768558771;179355.24961962632;896.8770720565168;51966.59424001295;203.26757629428016;22262.409730309715;84.67666366204617;796.6845272894419
3;81247.78535436292;2.3889491631219506E8;6316.800282798923;1412130.00516904;4120.396828549549;732150.5844943052;1025.5190880736827;142819.148768868;866.8403488564152;38218.11211812745;220.4614879869706;14559.7276987733;83.5825293323053;280.74338176015124
4;81258.21188555846;2.3867715100961354E8;6343.89647005023;1390526.6191632387;3974.5644864167916;717242.5282873947;1110.0843393749526;119808.41610192508;904.4645918325755;37682.10001836164;274.54669834689395;18579.004034442078;80.23635407901631;380.3857994008936
5;81302.67496118679;2.387404250715059E8;6329.887430450575;1400852.315931882;4055.156067420995;726195.5192667115;1058.5556780054571;104371.8524733836;839.7973665584906;55696.57295903475;301.23608538966647;20012.141485562635;75.14223307596546;328.9143107108441
6;81270.10105754717;2.386022790687455E8;6350.544824697334;1420866.873941596;4087.277484907126;703467.7948786038;1040.0691973820433;91672.29954800053;851.2539179610363;45223.69693009138;295.80329393875695;18178.950645425975;76.14093050837;309.1314291350718
7;81227.05417799507;2.3820417889124414E8;6377.691953934515;1422260.857516877;4125.675936331144;692973.7348284608;1042.7940698080397;76328.2341178704;833.3356921231459;40018.020323924255;300.78521583229906;15597.431925655277;75.10103983988589;290.1620812275859
8;81242.1600357321;2.381960559780534E8;6347.911365393582;1421365.2465791143;4107.744170165288;683985.9278852498;1004.5030176033657;65050.83619601455;861.5426329954855;46476.84007690253;299.2484209015229;10337.378648344566;74.87312372791946;241.9672429348483
9;81231.79512962943;2.380496299750864E8;6327.396387122517;1416689.197182148;4095.9692417944516;654788.7903943736;985.530345386439;58624.23875948157;857.667268880852;45080.8533142816;311.5170327430869;6517.682294130405;76.7124983176863;238.60738960570586
10;81210.09309653794;2.3774267134029087E8;6351.037563370208;1441314.235554982;4116.263526761058;655294.7053208397;970.8492251423718;51591.43409340316;890.8319607668124;56513.36986556621;296.69914187433045;5669.56534729272;76.39370882563526;127.33850575314148
11;81233.44325723391;2.378380575254507E8;6334.789493556369;1436164.201785408;4071.659630698138;658054.1784689304;972.4267576817786;47257.9251467359;907.309864360993;58775.63846811625;304.8579327828892;5161.22837580263;78.53530803257054;175.57904906940814
12;81257.03933346433;2.379268542151617E8;6347.08704393156;1446563.8219379354;4017.9319069567196;682844.6196327036;990.1614479437374;42850.70662053005;910.8060097836324;57427.908916841814;347.4862569299215;27569.88192892725;80.70142231754954;220.78027999316657
13;81277.6847057984;2.3823557295520267E8;6331.928730712728;1444310.660259246;4010.1037640206246;682998.0040108112;991.042411597926;35000.814082877434;917.4695175059402;54887.95497051454;332.2269715876718;23451.684539777267;81.08606600056571;168.99126197563407
14;81278.45557256254;2.3818494935217038E8;6332.465824200769;1446765.1214264142;4036.0659885054547;678815.7093958746;987.7276003457928;29337.332691906922;915.3758427041089;51345.36539378714;312.2783249873753;25985.253780748295;81.01806765803752;52.80528628909974
15;81263.54515775785;2.3817283071242005E8;6326.668383529988;1451678.6359475174;4039.308933036082;685172.1720676724;988.8442483147734;26468.69571454695;908.1339560449975;46862.83156394097;312.31120937002675;23173.804057494337;78.07003676410838;120.81859594463594
16;81268.76595194958;2.381894929720892E8;6335.147884505644;1462693.1583449494;3988.78713050221;707410.6866789297;1052.0609787009994;93482.24574541951;912.6894087705825;42947.96282899994;302.039670346818;22777.783269614516;79.5706961850338;100.64465504791076
17;81268.4323562811;2.382504701246341E8;6325.324904648773;1450771.6149207207;3974.025632268829;689983.9342167032;1063.7307867526608;91212.04623094446;917.6432257802144;41949.7571726147;293.86480621079187;20713.505717766304;76.06045363627686;239.522615049423
18;81287.14922184926;2.3835113489639252E8;6327.836953763323;1453536.2556213222;3973.124237064701;662659.0479252534;1071.7298966421292;83965.79582975556;909.048354082814;42485.48674962649;296.2869142865265;18916.074882710414;77.64755168715352;295.6623783190758
19;81271.72544059438;2.382275696717653E8;6323.508661720147;1436761.3122451701;3979.916827057152;661469.5037864893;1059.510107563316;74308.73860483611;907.9964716391805;40374.59928222598;299.40585905799327;18127.460523236034;76.6793964025042;248.8045277400688
20;81299.39403326428;2.383824849128793E8;6331.968011894572;1440467.698826285;3963.0306343106117;664674.5918093252;1083.4514563415364;83373.48767227086;916.9451933020548;42068.462565498376;290.92051503940115;17761.878430821085;77.62021290096659;234.97931271931355
21;81287.26255246301;2.382575278207517E8;6333.99324069085;1434697.2002749383;3977.6491112919025;655531.6038056037;1075.995980581526;76856.20199251611;911.0812799576677;37916.77102416874;291.96599644456404;15783.007516517042;77.3008724151887;148.0332532917722
22;81285.65625924377;2.3833483174248168E8;6334.386715631552;1433040.1241344004;3985.716730925838;659727.1766759406;1059.054765586866;76421.6503538067;911.9865151020537;37068.301872169075;299.50546724897214;16079.992332149952;78.12323676782184;153.3863761866682
23;81292.79547313153;2.384196708610457E8;6340.188359492511;1441280.8743961758;3987.663720676036;652130.5127793588;1068.645663584421;75761.52016870017;898.8087760108253;39222.80724159417;308.40755262733774;16589.278584961117;76.66264659389061;164.21254868643672
