RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5;Mean6;Var6;Mean7;Var7
1;61750.098756102896;1.1715241631677309E8;5125.192268813867;823777.3124792924;3176.7323235956874;315070.3887011515;954.8363346630196;132247.80687391845;672.6514554333091;98237.77531022193;219.42275869126058;17304.27610454968;101.5493964305897;502.8948059245424
2;61750.07878877991;1.173472332984936E8;5122.936480312933;817316.7928856082;3263.553162772874;351894.45312865585;874.2582068975336;70646.45407144679;690.3969272192771;50667.891396134;188.37108703855847;11873.547581521962;106.35709638468975;579.6703383331605
3;61680.02227985335;1.1713926862473518E8;5145.836483036771;818138.9084765625;3272.617628526248;322256.07572842966;879.8454123311327;48557.695939615805;690.2297573836962;36791.75079137221;200.85916101688875;10072.140819078799;102.28452377880538;301.6018361910553
4;61652.549560535175;1.1716849536767262E8;5187.578577686884;839485.8055298992;3322.1920567007546;333403.78841126023;920.6250375752666;46217.55420980151;622.9283368478759;53570.64045981731;219.07508819710688;8197.280877603009;102.75805836587998;236.28482366118044
5;61652.66162960037;1.1687716079069081E8;5178.149837820893;827849.4832694108;3277.948094714855;326640.0272133822;963.233794797;54344.611129134406;611.1785658107788;43843.60468997674;222.72666851910208;6288.607851425229;103.06271397915697;218.92543001608988
6;61609.2634251214;1.1670146553734115E8;5185.324885296899;837264.1770969578;3193.451984439257;350529.642724994;1008.7928349915762;59639.6767750624;620.3600032172509;41846.07881145546;252.8642918282367;11339.74222822647;109.8557708205781;646.0441507911123
7;61609.32351900808;1.1681130388907665E8;5186.914576371817;840243.0848012709;3176.380966218892;344012.0004445941;1009.8479588841038;52563.86490332903;627.4762204566983;39435.46267086519;261.53076526860684;9948.71910505568;111.67866554351633;680.6222344227924
8;61640.48611218825;1.1677842805208963E8;5191.783542962833;836897.5053497463;3177.257322325152;338869.45889714506;1004.4451691641239;46265.25958622029;620.4737880234431;34320.75471274909;276.02115122496537;11338.30772422652;113.5861122251498;726.4057048843431
9;61628.740629217915;1.166769534249733E8;5182.561267590212;835045.39368531;3196.066233700151;343958.2520706052;962.1882154245168;53403.192243787125;650.6901979471623;40803.330717698605;260.61734880279454;10853.536668910314;112.99927171558814;720.1190453495371
10;61594.97851013978;1.1654434293410334E8;5189.805835745871;848272.1223293315;3182.8211469991556;333818.438600607;978.8844296845986;52299.52745790298;650.5587959047772;37186.49098979599;268.59026342477466;11403.415432819453;108.95119973256578;869.6931962216125
11;61587.23474014455;1.1644034580319427E8;5183.472525885588;842649.9210074462;3172.09972034557;317314.82110696804;992.4335327890292;51207.08981646263;637.3552287822129;37244.074570446945;277.3298814065269;10984.134759050867;104.25416256224983;932.3425274422424
12;61577.742028265675;1.1636731313311711E8;5186.613485029382;845818.9521288412;3180.435562287675;316353.55597209174;989.2470224564183;49282.53065721336;648.4038799621396;35197.725816495804;266.50687558376796;10062.253692368558;102.02014473938117;937.9825388368156
13;61570.39865931017;1.1624731081598736E8;5193.135099114698;848649.0577217046;3180.6960263441833;318520.3143142978;989.8053257855252;44234.0793023754;655.3258609569516;34641.520420094865;266.66248147609434;10029.854549703967;100.64540455194367;917.793365583578
14;61569.14371113108;1.161830475110859E8;5195.397370421201;846888.6573095006;3186.0995854505973;317203.8911647557;984.4377203584085;41757.22530722376;656.5105414425796;32927.32887457972;269.4050454888514;7681.171049778715;98.94447768076459;920.3710050421557
15;61577.475564456676;1.1627380234235337E8;5198.567556000387;848307.0022005466;3186.8632052448656;312684.3566390741;987.9133838186419;40509.087432657325;671.0112404976768;36105.698518697165;253.65783653679676;7598.3851064180835;99.12188990240614;836.3838930237027
16;61584.13438025241;1.1624110097520609E8;5185.0078318878095;846855.0130084711;3174.377892176131;307274.1023394091;985.255212005418;39976.67271718245;678.0056786846957;36915.06171806296;250.13210388686247;7179.2775530004765;97.2369451347017;856.9065412747016
17;61587.92596660121;1.1620522152468164E8;5176.277501001671;843590.7539238215;3150.5891657017323;308983.7920560785;1003.4379030153328;43925.60489869786;680.7082842079882;36747.739431147544;244.1218555156852;6132.331087302434;97.42029256093137;832.079728141605
18;61573.46762907319;1.161425545864873E8;5167.529394036741;840119.7335671677;3155.789221432842;308739.80708085955;985.0195426071806;45538.44131324738;676.1292512238307;35459.96870092509;253.3169914716337;7428.667241175471;97.27438730125277;802.4177337753327
19;61576.77726140281;1.1611334861363855E8;5157.134302455117;837897.0716514678;3156.3356214489477;307819.7721011118;983.0248954932642;43583.35087470452;667.3229714804284;35879.7760127303;255.40646807609156;6601.581095124717;95.04434595638388;845.4384819983499
20;61580.07787158885;1.1605952588942353E8;5163.239808424705;839584.1316764548;3153.8848704743473;303202.3602592821;994.4879543646427;45517.607582816636;661.2662864827377;34664.99340726892;258.37639361122984;6098.7144537746435;95.22430349174788;784.8153670038241
21;61586.074473847795;1.1609966944384928E8;5164.731252725681;837932.3465831222;3162.684773002166;303131.91044734797;981.3486704376803;48505.16446558643;656.7321994847306;32647.372931174632;268.25786062047194;7446.01297045359;95.70774918063144;763.6828923125905
22;61579.499919149435;1.1606632504038247E8;5160.091473788917;838553.8462230306;3146.3750389472066;301167.22192022076;983.2216954409531;46489.47065098518;660.1128605380246;32071.77509725459;272.5062487627094;7686.886000190407;97.87563010002322;883.6208651282859
23;61576.09975922565;1.1601505946365212E8;5162.093885340639;839480.5482976208;3155.304808320566;303032.76049884467;970.7628159614643;46435.08468987191;660.1971191482838;31409.864667782866;274.8392596652673;7687.127352982875;100.98988224505662;1129.6771222676482
24;61577.76099152779;1.1601786961817765E8;5167.117540755491;840784.5401832208;3153.0682404485397;295075.7345883462;979.9854526500279;48618.7226955873;659.5298561431372;31009.994320408216;272.73743998688315;5973.401415876564;101.79655152690259;1115.315751657222
25;61587.50132245642;1.1609443793660732E8;5167.851830914236;842350.5249526014;3161.8307575524614;295976.6800998908;981.9576714912683;47772.8564844789;658.7950604673146;29958.34255690124;263.2803472514837;7551.334852209002;101.98799415170687;1098.625624311127
26;61586.321306226964;1.1610937658172593E8;5165.074489062148;841209.3707572027;3150.8766834119288;293278.139191375;995.5230971383293;53234.40098667821;655.3006903718615;29352.926780110327;262.89046796387055;7178.478445753747;100.48355017615633;1092.7616202178647
27;61590.68636223756;1.160785505420622E8;5170.014131643897;843809.2417473554;3152.4857560844484;291816.54521347105;995.5959452724062;50743.59212091764;658.6676142447409;29299.622823119695;263.1592941410648;7051.318803215743;100.10552190123441;1065.1053062603266
28;61596.85595197115;1.161264145831475E8;5169.944984641583;844043.632759924;3166.297018212697;297003.1087956762;982.7329253952144;53538.912819621095;657.7776561668571;28587.069754160922;262.16847533800365;6152.93317165479;100.96890952880902;1074.6557277696825
29;61601.0765987969;1.1612613535412249E8;5169.769611735999;844281.45967174;3160.695041274165;296984.68799217633;990.8437565296484;54355.76804378277;649.6697250926279;29730.28916978817;267.07256678237354;6833.595644479231;101.48852205718237;1078.3184223042892
30;61597.90466685725;1.1614960364322461E8;5175.533676839622;846496.6521917857;3164.0175793296844;292194.3772207531;994.5061948066337;54154.97600990016;650.0019571589193;29591.80524008298;265.6469475592068;6792.203306367976;101.36099798517569;1004.2078839724065
31;61605.64358862799;1.1623386062468636E8;5172.545192473318;847768.675561737;3162.728395565262;292576.5644302369;997.2121632630009;53623.96445097352;646.4044730352331;30055.850752652186;265.5507040466011;5948.253379491974;100.64945656321905;942.504350811799
32;61605.42569470778;1.1625960722697538E8;5169.6078004914225;847646.0203896968;3158.098554005094;289004.1925434351;1001.4606162166162;52668.76258875307;645.4032598790573;30146.589666050957;264.4450350963041;5230.0777818379465;100.20033529434957;932.2528254205013
33;61592.310009157656;1.1620171970268495E8;5166.339421629956;846250.5999382044;3155.1681014951023;286851.82533053204;998.3262924447845;51853.389527703795;645.7611148983789;29916.65312201008;265.48686008047565;5072.901137199698;101.59705271121227;993.800973494584
34;61599.57014508633;1.1618598916660482E8;5161.9564380577;844868.3098377062;3145.0618579039733;290213.66120532964;997.4384976727063;49733.70064968785;645.8517301989598;29328.048826253747;272.4442204906175;6772.805793084124;101.16013179144188;960.4045828984963
35;61604.41466628167;1.1626193504424392E8;5161.296117146392;844474.0624369131;3151.5134998254593;288475.2660943708;989.7382444148616;50720.47147601331;646.3155897423204;29576.48563538236;272.3401631535213;6016.154192924446;101.38862001022814;956.7167958828752
36;61612.16954530049;1.1634324198928317E8;5160.541510755087;842669.9322515043;3150.737029548123;286904.71586888615;987.0286210386411;49105.70060197055;652.9581450469047;31351.935624774203;268.5196950208789;6218.299908035681;101.29802010053814;938.5062129635255
37;61624.346963375094;1.1638075672044623E8;5163.246390499459;843152.691950018;3152.2806751842213;285141.79625899834;985.2673416287289;49178.36337293578;659.6124924535658;32873.09888418925;263.2587438592016;6353.3179113155165;102.82713737374006;1027.655284692829
